country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Gujarat,Bhavnagar,"Vidhyanagar, Bhavnagar - Nexteng Enviro","02-07-2026 14:00:00",21.755417,72.139056,NH3,3,7,5
India,Gujarat,Bhavnagar,"Vidhyanagar, Bhavnagar - Nexteng Enviro","02-07-2026 14:00:00",21.755417,72.139056,SO2,6,7,7
India,Delhi,Delhi,"Commonwealth Sports Complex, Delhi - DPCC","02-07-2026 14:00:00",28.615828,77.271992,OZONE,5,87,41
India,Delhi,Delhi,"NSUT Jaffarpur, Delhi - DPCC","02-07-2026 14:00:00",28.594004,76.909423,NH3,1,17,6
India,Delhi,Delhi,"Bawana, Delhi - DPCC","02-07-2026 14:00:00",28.7762,77.051074,PM2.5,38,213,96
India,Delhi,Delhi,"Bawana, Delhi - DPCC","02-07-2026 14:00:00",28.7762,77.051074,OZONE,3,6,4
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","02-07-2026 14:00:00",28.611281,77.237738,NH3,7,11,8
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","02-07-2026 14:00:00",28.710508,77.249485,SO2,7,18,12
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","02-07-2026 14:00:00",28.710508,77.249485,CO,39,59,47
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","02-07-2026 14:00:00",28.56789,77.250515,PM2.5,2,93,34
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","02-07-2026 14:00:00",28.56789,77.250515,SO2,15,41,20
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","02-07-2026 14:00:00",28.56789,77.250515,CO,28,35,32
India,Delhi,Delhi,"Pusa, Delhi - DPCC","02-07-2026 14:00:00",28.639652,77.146275,SO2,4,13,8
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","02-07-2026 14:00:00",28.623763,77.287209,PM2.5,13,183,60
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","02-07-2026 14:00:00",28.623763,77.287209,SO2,0,8,6
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","02-07-2026 14:00:00",28.623763,77.287209,OZONE,4,80,32
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","02-07-2026 14:00:00",28.58028,77.233829,PM2.5,13,63,42
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","02-07-2026 14:00:00",28.58028,77.233829,PM10,22,127,82
India,Haryana,Ambala,"Patti Mehar, Ambala - HSPCB","02-07-2026 14:00:00",30.379589,76.778328,PM2.5,20,71,45
India,Haryana,Ambala,"Patti Mehar, Ambala - HSPCB","02-07-2026 14:00:00",30.379589,76.778328,NH3,1,11,7
India,Haryana,Ambala,"Patti Mehar, Ambala - HSPCB","02-07-2026 14:00:00",30.379589,76.778328,OZONE,14,15,15
India,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB","02-07-2026 14:00:00",28.6701,76.9254,PM10,30,133,74
India,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB","02-07-2026 14:00:00",28.6701,76.9254,SO2,5,7,6
India,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB","02-07-2026 14:00:00",28.6701,76.9254,CO,32,50,46
